Company Name,Web Address,Description,Contact Name,Contact Title,Address,Contact Phone,Contact Fax,Contact Email,Position Types ,Degrees ,Academic Programs ,College of Arts and Sciences ,Case School of Engineering ,Weatherhead School of Management ,Professional Schools ,F-1,Location
U.S. Navy,http://www.navy.com,U.S. Navy Officer Programs,Robert Rood,LT,"7123 Pearl Road, Suite 102Middleburg Heights, OH  44130",440-843-9363,440-843-9285,robert.r.rood@navy.mil,Full Time,Bachelors;Masters;Doctoral,All Majors,English/Classics/Literature;History;Music/Music Education/Theatre/Dance;Philosophy/Religious Studies;Political Science;Psychology;Sociology;All Sciences;Biochemistry;Biology/Systems Biology/Evolutionary Biology;Chemistry/Natural Sciences;Mathematics/Statistics;Nutrition;Physics/Astronomy,All Engineering,All Weatherhead,,N,Global
Cleveland Clinic,http://clevelandclinic.org,"Cleveland Clinic was founded in 1921 by four doctors whose vision was to provide excellent patient care based on the principles of cooperation, compassion and innovation. Today, Cleveland Clinic has locations throughout Northeast Ohio and beyond, including Canada, Florida, and Abu Dhabi. With more than 1,000 beds and 3.3 million patient visits each year*, it is one of the largest and most respected hospitals in the country. Annually, people from 80 countries choose to travel to Cleveland Clinic for their care. Cleveland Clinic consistently has been named as one of the nation's best hospitals, and for 15 years, our heart and heart surgery program has been ranked no. 1 in heart care in the country, according to the U.S.News & World Report ""Best Hospitals"" survey. ",Dave Geiger,College Recuiter,"3050 Science Park Drive/AC333aBeachwood, OH 44122",216-448-0608,216-448-0643,geigerd@ccf.org,Full Time;Internship,Bachelors;Masters;Doctoral,,Communication Sciences (disorders)/Cognitive Sciences;Psychology;Sociology;All Sciences;Biochemistry;Biology/Systems Biology/Evolutionary Biology;Chemistry/Natural Sciences;Mathematics/Statistics;Nutrition,,All Weatherhead,Mandel Center for Nonprofit Organizations (G);Mandel School of Applied Social Sciences (social work) (G) ,Y,"Cleveland, OH"
Swagelok Company,http://www.swagelok.com,"Swagelok is a $1.3 billion, privately-held company. Swagelok Company designs, manufactures, and delivers an expanding range of the highest quality fluid system products and solutions. Through an exclusive network of authorized Swagelok sales and service centers Swagelok Company delivers knowledge, resources, innovations, and value to customers worldwide.",Tosin Araba,Corporate Recruiting,31500 Aurora Road,440-649-4113,,tosin.araba@swagelok.com,Full Time;Internship;Co-op,Bachelors;Masters,,,Electrical;Chemical;Computer Engineering;Polymer Science;Fluid and Thermal (G);Materials Science;Mechanical;Systems & Control;Master of Engineering Management (G),Accounting/Accountancy;Finance (G);Operations Research (G);Supply Chain (G);Management -- Finance (U),,N,"Solon, Ohio"
Social Security Administration,http://www.socialsecurity.gov,"Forward thinking. Radical approaches. Surpassing the standard. These are the elements that created one of the world's most successful social insurance programs.For over 65 years, the Social Security Administration has played a part in the lives of nearly everyone you know. Social Security has kept millions of elderly and disabled individuals safe from poverty. With over 90% of the U.S. population covered by Social Security, new challenges require that we question the limits of the status quo, reaching outside of the realm of the usual and standard.",Kathleen Pietro,District Manager,11601 Shaker Blvd.Clevleland OH 44120,216-791-5012,216-791-9139,Kathleen.pietro@ssa.gov,Full Time;Practicum;Internship,Bachelors;Masters,All Majors,,,,,N,Northern Ohio
Epic,http://www.epic.com,"Healthcare is one of the biggest challenges of our time. Epic rises to this challenge by creating award-winning software that helps healthcare organizations provide better care, reduce costs, and improve healthcare. We continue to be at the forefront of real-time, patient record interoperability and are leading the revolution in giving patients access to their own electronic medical records. We're searching for smart, passionate people who want to achieve great things. You will work hard, collaborate with the brightest minds, and do things that make a difference. Located in Madison, WI, Epic is a privately-held software company with over 30 years of success.  We offer both technical and non-technical positions; many of which are open to all majors and all degree levels.",Michelle Kipp,Human Resources,"1979 Milky WayVerona, WI 53593",608-777-5553,608-777-5913,mkipp@epic.com,Full Time,Bachelors;Masters,All Majors,,,,,Y,"Madison, WI"
Bridgestone Americas Center for Research & Technology,http://www.ba-thecenter.com,"Bridgestone Americas Center for Research & Technology is a state-of-the art facility staffed with a multi-disciplinary team of highly trained and experienced scientists.  Our primary mission is to develop advanced materials technology for tires and non-tire products.  Our facility has the reputation of being one of the leading laboratories in the world in the field of polymer synthesis.  We are seeking potential candidates in the fields of material science, polymer science, chemical engineering, analytical, organic or polymer chemistry.  ",Lori Kirby,Human Resources,"1655 S. Main St.Akron, OH  44301",330-379-7573,330-379-7290,kirbylori@bfusa.com,Full Time;Co-op,Bachelors;Masters;Doctoral,,Chemistry/Natural Sciences,Chemical;Materials Science;Polymer Science,,,Y,"Akron, Ohio"
The Ohio State University Department of Biomedical Information,http://biomed.osu.edu/bmi/index.cfm,"Department of Biomedical Informatics: the study and process of efficiently gathering, storing, managing, retrieving, analyzing, communicating, sharing, and applying biomedical information to improve the detection, prevention, and treatment of disease.",Jillian Bickle,Assistant to the Chair: Administrative C,"3190 Graves Hall333 W. 10th AveColumbus, OH 43210",614-292-4778,614-688-6600,jillian.bickle@osumc.edu,Part-Time;Full Time;Internship,Bachelors;Masters;Doctoral,,All Sciences;Mathematics/Statistics,Biomedical;Computer Engineering;Computer Science;All Engineering,,,Y,"Columbus, Ohio"
American Heart Association,http://www.heart.org,"The American Heart Association is a national voluntary health agency whose mission is: ""Building healthier lives, free of cardiovascular diseases and stroke.""",Michelle Ranly,Admin. Coordinator of Special Events,"1689 E. 115th St.Cleveland, OH 44106",216-619-5143,,michelle.ranly@heart.org,Internship,Bachelors,,,,Management -- Marketing (U),,Y,Cleveland
ViaSat Inc,http://www.viasat.com/,"Digital Communication Products for Commercial and Government MarketsViaSat produces innovative satellite and other digital communication products that enable fast, secure, and efficient communications to any location. We bring today’s new communication applications to people out of reach of terrestrial networks, in both the commercial and government sectors, with a variety of networking products:Satellite networks for fixed-site and mobile communicationsSatellite antenna systemsWireless datalinks and terminals for combat situational awarenessInformation security for military networkingMobile IP networking for soldiers Communication microprocessor chipsetsApplication and communication accelerationSatellite network system designCommunication simulation and training systemsConsumer satellite broadband services",Stephanie Miller,Staffing Assistant,"6155 El Camino RealCarlsbad, CA 92009",760-930-3920,760-476-4997,stephanie.miller@viasat.com,Full Time;Internship,Bachelors;Masters;Doctoral,,,Computer Engineering;Electrical;Mechanical;Computer Science,,,Y,"Cleveland, OH; Carlsbad, CA; Atlanta, GA; Phoenix, AZ"
Philips Medical Systems,http://philips.com,"We simplify healthcare by focusing on the people in the care cycle – patients and care providers. Through combining human insights and clinical expertise, we aim to improve patient outcomes while lowering the burden on the healthcare system. Philips delivers advanced solutions for both health professionals, to meet the needs of patients, and empowered consumers for affordable healthcare whether in hospital or at home.   Some product highlights: 256-slice Brilliance iCT scanner, Integrated cath lab, Avalon FM 20 & FM 30 fetal monitors, Ambient Experience MR and CT systems, Philips Lifeline's personal emergency alert service.",Margaret Benoit,Campus Recruiter,"3000 Minuteman RoadAndover, MA 01810",978-659-3203,,Margaret.benoit@philips.com,Full Time;Co-op;Internship,Bachelors;Masters,,Biochemistry,Biomedical;Computer Engineering;Electrical;Engineering Physics (U);Master of Engineering Management (G);Engineering Mechanics (G);All Engineering,MBA (G);Management -- Marketing (U),,Y,US
